Названия операций,
,
Наименования полевых работ,Примечание
1-я междурядная культивация,"На всех культурах кроме пшеницы, ячменя"
2-я междурядная культивация,"На всех культурах кроме пшеницы, ячменя"
Боронование довсходовое,
Внесение минеральных удобрений,
Выравнивание зяби,
2-е Выравнивание зяби,
Гербицидная обработка,"На свекле их 4 шт, на остальных культурах 1"
1 Гербицидная обработка,
2 Гербицидная обработка,
3 Гербицидная обработка,
4 Гербицидная обработка,
Дискование,
Дискование 2-е,
Дискование 3-е,
Инсектицидная обработка,
Культивация,
Пахота,
Подкормка,
2-я подкормка,
Предпосевная культивация,
Прикатывание посевов,
Сев,
Сплошная культивация,
Уборка,
Функицидная обработка,
Чизлевание,
